#
# FPS Robot Array Configuration
#
# Focal Plane Layout 2 - Rings & Things Configuration
# 2018 Jan 28 [rwp/osu]
#
# Row = row number (Y-axis, -14 to +14, 0 is center row)
# Pos = position in row (X-axis, 0 to N_row-1, increasing with +x)
# X,Y = X,Y position in mm relative to field center (0,0)
# Assignment = position assignment
#    BA = BOSS+APOGEE Fibers
#  BOSS = BOSS Fiber (no APOGEE fiber)
#  Fiducial = Fixed Illuminated Fiducial
#
# Totals:
#    500 robots: 300 B+A, 200 BOSS-only
#     72 Fiducials
#
# Row   Pos     X (mm)  Y (mm)          Assignment
-14     0       -156.8  -271.5856       Fiducial
-14     1       -134.4  -271.5856       BA
-14     2       -112    -271.5856       BA
-14     3       -89.6   -271.5856       BA
-14     4       -67.2   -271.5856       Fiducial
-14     5       -44.8   -271.5856       BA
-14     6       -22.4   -271.5856       BA
-14     7       0       -271.5856       Fiducial
-14     8       22.4    -271.5856       BA
-14     9       44.8    -271.5856       BA
-14     10      67.2    -271.5856       Fiducial
-14     11      89.6    -271.5856       BA
-14     12      112     -271.5856       BA
-14     13      134.4   -271.5856       BA
-14     14      156.8   -271.5856       Fiducial
#
-13     0       -168    -252.1866       BA
-13     1       -145.6  -252.1866       BA
-13     2       -123.2  -252.1866       BOSS
-13     3       -100.8  -252.1866       BOSS
-13     4       -78.4   -252.1866       BOSS
-13     5       -56     -252.1866       BOSS
-13     6       -33.6   -252.1866       BA
-13     7       -11.2   -252.1866       BOSS
-13     8       11.2    -252.1866       BOSS
-13     9       33.6    -252.1866       BA
-13     10      56      -252.1866       BOSS
-13     11      78.4    -252.1866       BOSS
-13     12      100.8   -252.1866       BOSS
-13     13      123.2   -252.1866       BOSS
-13     14      145.6   -252.1866       BA
-13     15      168     -252.1866       BA
#
-12     0       -179.2  -232.7876       BA
-12     1       -156.8  -232.7876       BOSS
-12     2       -134.4  -232.7876       BA
-12     3       -112    -232.7876       BA
-12     4       -89.6   -232.7876       BA
-12     5       -67.2   -232.7876       BA
-12     6       -44.8   -232.7876       BA
-12     7       -22.4   -232.7876       BA
-12     8       0       -232.7876       Fiducial
-12     9       22.4    -232.7876       BA
-12     10      44.8    -232.7876       BA
-12     11      67.2    -232.7876       BA
-12     12      89.6    -232.7876       BA
-12     13      112     -232.7876       BA
-12     14      134.4   -232.7876       BA
-12     15      156.8   -232.7876       BOSS
-12     16      179.2   -232.7876       BA
#
-11     0       -190.4  -213.3887       BA
-11     1       -168    -213.3887       BOSS
-11     2       -145.6  -213.3887       BA
-11     3       -123.2  -213.3887       Fiducial
-11     4       -100.8  -213.3887       BOSS
-11     5       -78.4   -213.3887       BOSS
-11     6       -56     -213.3887       Fiducial
-11     7       -33.6   -213.3887       BOSS
-11     8       -11.2   -213.3887       BOSS
-11     9       11.2    -213.3887       BOSS
-11     10      33.6    -213.3887       BOSS
-11     11      56      -213.3887       Fiducial
-11     12      78.4    -213.3887       BOSS
-11     13      100.8   -213.3887       BOSS
-11     14      123.2   -213.3887       Fiducial
